The Coquette,Foster,136,Yes,Primary
Letters on the Equality of the Sexes,Grimke,126,Yes,Primary
Woman in the Nineteenth Century,Fuller,162,No,Primary
"Clotel; Or, the President’s Daughter",Brown,168,Yes,Primary
An Appeal to the Public on the Controversy,Morse,197,Yes,Primary
Wheaton v. Peters,US Supreme Court,109,Yes,Primary
Remarks on Literary Property,Philip Nicklin,140,Yes,Primary
An Abridgement of the Hist. of NE for Young Persons,Adams,194,No,Primary
A Present for Young Ladies,Susanna Rowson,155,Yes,Primary
The Mother's Book,Child,182,No,Primary
Peter Parley's Universal History on Basis of Geography,Hawthorne,113,No,Primary
Letters from an American Farmer,Crevecoeur,193,Yes,Primary
Greenfield Hill,Dwight,183,Yes,Primary
The American Scholar,Emerson,150,Yes,Primary
Our Nig,Wilson,131,Yes,Primary
Incidents in the Life of a Slave Girl,Jacobs,140,No,Primary
Biographical Sketches & Interesting Anecdotes,"Mott, ed.",194,Yes,Primary
Interesting Narrative of the Life,Equiano,236,Yes,Primary
Hobomok: A Tale of Early Times,Child,210,Yes,Primary
The Scarlet Letter,Hawthorne,260,No,Primary
The Autobiography of Benjamin Franklin,Franklin,230,Yes,Primary
Notes on the State of Virginia,Jefferson,210,Yes,Primary
The Vision of Columbus,Barlow,275,No,Primary
American Selection of Lessons in Reading and Speaking,Webster,203,No,Primary
Record of a School: Exemplifying Spiritual Culture,Peabody,200,No,Primary
Moral Culture of Infancy and Kindergarten Guide,Mann & Peabody,204,No,Primary
Wieland,Brown,278,No,Primary
House of the Seven Gables,Hawthorne,275,Yes,Primary
The Blithedale Romance,Hawthorne,287,Yes,Primary
Ruth Hall,Fern,220,No,Primary
Poems,Sigourney,260,Yes,Primary
Journal of a Residence on a Georgian Plantation,Kemble,228,Yes,Primary
Juanita: A Romance of Real Life in Cuba Fifty Years Ago,Mann,222,Yes,Primary
Last of the Mohicans,Cooper,432,No,Primary
Confessions of Nat Turner,Gray,480,No,Primary
Moby Dick,Melville,515,Yes,Primary
The Bondswoman’s Narrative,Crafts,365,Yes,Primary
Travels,Bartram,332,No,Primary
Reuben and Rachel,Rowson,332,Yes,Primary
Hope Leslie,Sedgwick,448,Yes,Primary
Typee: A Peep at Polynesian Life,Melville,347,No,Primary
Uncle Tom's Cabin,Stowe,500,No,Primary
Walden,Thoreau,338,Yes,Primary
Blake,Delany,302,Yes,Primary
History of the American Revolution,Ramsay,500,No,Primary
American Biography,Belknap,368,Yes,Primary
"History of the Rise, Progress & Termination of Am. Rev.",Warren,342,Yes,Primary
History of Printing in America,Thomas,567,Yes,Primary
A Treatise on the Law of Copyright,Curtis,331,No,Primary
Geography Made Easy,Morse,330,Yes,Primary
"Compendious History of NE, Designed for Schools",Morse & Parish,345,No,Primary
A Treatise on Domestic Economy,Beecher,350,No,Primary
Lectures on Education,Mann,343,No,Primary
